Risk,Host,Name,Description,Solution,Plugin Output,Category,Reported
Critical,10.204.224.8,Microsoft SQL Server Unsupported Version Detection (remote check),"According to its self-reported version number, the installation of
Microsoft SQL Server on the remote host is no longer supported.

Lack of support implies that no new security patches for the product
will be released by the vendor. As a result, it is likely to contain
security vulnerabilities.","Upgrade to a version of Microsoft SQL Server that is currently
supported.","
The following unsupported installation of Microsoft SQL Server was
detected :


  Installed version : 10.50.1600.0
  Fixed version     : This version is no longer supported.

  SQL Server Instance  : SQLEXPRESS",VULNERABLE VERSION OF APPLICATION IN USE,yes
Medium,10.204.224.8,SSLv3 Padding Oracle On Downgraded Legacy Encryption Vulnerability (POODLE),"The remote host is affected by a man-in-the-middle (MitM) information
disclosure vulnerability known as POODLE. The vulnerability is due to
the way SSL 3.0 handles padding bytes when decrypting messages
encrypted using block ciphers in cipher block chaining (CBC) mode.
MitM attackers can decrypt a selected byte of a cipher text in as few
as 256 tries if they are able to force a victim application to
repeatedly send the same data over newly created SSL 3.0 connections.

As long as a client and service both support SSLv3, a connection can
be 'rolled back' to SSLv3, even if TLSv1 or newer is supported by the
client and service.

The TLS Fallback SCSV mechanism prevents 'version rollback' attacks
without impacting legacy clients; however, it can only protect
connections when the client and service support the mechanism. Sites
that cannot disable SSLv3 immediately should enable this mechanism.

This is a vulnerability in the SSLv3 specification, not in any
particular SSL implementation. Disabling SSLv3 is the only way to
completely mitigate the vulnerability.","Disable SSLv3.

Services that must support SSLv3 should enable the TLS Fallback SCSV
mechanism until SSLv3 can be disabled.","
Nessus determined that the remote server supports SSLv3 with at least one CBC 
cipher suite, indicating that this server is vulnerable.

It appears that TLSv1 or newer is supported on the server. However, the 
Fallback SCSV mechanism is not supported, allowing connections to be ""rolled 
back"" to SSLv3.
",ssl related vulnerability,yes
Medium,10.204.224.8,SSL/TLS EXPORT_RSA <= 512-bit Cipher Suites Supported (FREAK),"The remote host supports EXPORT_RSA cipher suites with keys less than
or equal to 512 bits. An attacker can factor a 512-bit RSA modulus in
a short amount of time.

A man-in-the middle attacker may be able to downgrade the session to
use EXPORT_RSA cipher suites (e.g. CVE-2015-0204). Thus, it is
recommended to remove support for weak cipher suites.","Reconfigure the service to remove support for EXPORT_RSA cipher
suites.","
EXPORT_RSA cipher suites supported by the remote server :

  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP-RC2-CBC-MD5               0x00, 0x06       RSA(512)      RSA      RC2-CBC(40)            MD5       export
    EXP-RC4-MD5                   0x00, 0x03       RSA(512)      RSA      RC4(40)                MD5       export

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
High,10.204.224.8,MS17-010: Security Update for Microsoft Windows SMB Server (4013389) (ETERNALBLUE) (ETERNALCHAMPION) (ETERNALROMANCE) (ETERNALSYNERGY) (WannaCry) (EternalRocks) (Petya) (uncredentialed check),"The remote Windows host is affected by the following vulnerabilities :

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit these
    vulnerabilities, via a specially crafted packet, to
    execute arbitrary code. (CVE-2017-0143, CVE-2017-0144,
    CVE-2017-0145, CVE-2017-0146, CVE-2017-0148)

  - An information disclosure vulnerability exists in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit this, via a
    specially crafted packet, to disclose sensitive
    information. (CVE-2017-0147)

ETERNALBLUE, ETERNALCHAMPION, ETERNALROMANCE, and ETERNALSYNERGY are
four of multiple Equation Group vulnerabilities and exploits disclosed
on 2017/04/14 by a group known as the Shadow Brokers. WannaCry /
WannaCrypt is a ransomware program utilizing the ETERNALBLUE exploit,
and EternalRocks is a worm that utilizes seven Equation Group
vulnerabilities. Petya is a ransomware program that first utilizes
CVE-2017-0199, a vulnerability in Microsoft Office, and then spreads
via ETERNALBLUE.","Microsoft has released a set of patches for Windows Vista, 2008, 7,
2008 R2, 2012, 8.1, RT 8.1, 2012 R2, 10, and 2016. Microsoft has also
released emergency patches for Windows operating systems that are no
longer supported, including Windows XP, 2003, and 8.

For unsupported Windows operating systems, e.g. Windows XP, Microsoft
recommends that users discontinue the use of SMBv1. SMBv1 lacks
security features that were included in later SMB versions. SMBv1 can
be disabled by following the vendor instructions provided in Microsoft
KB2696547. Additionally, US-CERT recommends that users block SMB
directly by blocking TCP port 445 on all network boundary devices. For
SMB over the NetBIOS API, block TCP ports 137 / 139 and UDP ports 137
/ 138 on all network boundary devices.","Sent:
00000054ff534d4225000000001803c80000000000000000000000000710b3600028000110000000
00ffffffff0000000000000000000000005400000054000200230000001100005c00500049005000
45005c0000000000

Received:
ff534d4225050200c09803c80000000000000000000000000710b36000280001000000
",inadequate security configuration,yes
High,10.204.224.8,MS17-010: Security Update for Microsoft Windows SMB Server (4013389) (ETERNALBLUE) (ETERNALCHAMPION) (ETERNALROMANCE) (ETERNALSYNERGY) (WannaCry) (EternalRocks) (Petya) (uncredentialed check),"The remote Windows host is affected by the following vulnerabilities :

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit these
    vulnerabilities, via a specially crafted packet, to
    execute arbitrary code. (CVE-2017-0143, CVE-2017-0144,
    CVE-2017-0145, CVE-2017-0146, CVE-2017-0148)

  - An information disclosure vulnerability exists in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit this, via a
    specially crafted packet, to disclose sensitive
    information. (CVE-2017-0147)

ETERNALBLUE, ETERNALCHAMPION, ETERNALROMANCE, and ETERNALSYNERGY are
four of multiple Equation Group vulnerabilities and exploits disclosed
on 2017/04/14 by a group known as the Shadow Brokers. WannaCry /
WannaCrypt is a ransomware program utilizing the ETERNALBLUE exploit,
and EternalRocks is a worm that utilizes seven Equation Group
vulnerabilities. Petya is a ransomware program that first utilizes
CVE-2017-0199, a vulnerability in Microsoft Office, and then spreads
via ETERNALBLUE.","Microsoft has released a set of patches for Windows Vista, 2008, 7,
2008 R2, 2012, 8.1, RT 8.1, 2012 R2, 10, and 2016. Microsoft has also
released emergency patches for Windows operating systems that are no
longer supported, including Windows XP, 2003, and 8.

For unsupported Windows operating systems, e.g. Windows XP, Microsoft
recommends that users discontinue the use of SMBv1. SMBv1 lacks
security features that were included in later SMB versions. SMBv1 can
be disabled by following the vendor instructions provided in Microsoft
KB2696547. Additionally, US-CERT recommends that users block SMB
directly by blocking TCP port 445 on all network boundary devices. For
SMB over the NetBIOS API, block TCP ports 137 / 139 and UDP ports 137
/ 138 on all network boundary devices.","Sent:
00000054ff534d4225000000001803c80000000000000000000000000710b3600028000110000000
00ffffffff0000000000000000000000005400000054000200230000001100005c00500049005000
45005c0000000000

Received:
ff534d4225050200c09803c80000000000000000000000000710b36000280001000000
",inadequate security configuration,yes
High,10.204.224.8,MS17-010: Security Update for Microsoft Windows SMB Server (4013389) (ETERNALBLUE) (ETERNALCHAMPION) (ETERNALROMANCE) (ETERNALSYNERGY) (WannaCry) (EternalRocks) (Petya) (uncredentialed check),"The remote Windows host is affected by the following vulnerabilities :

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit these
    vulnerabilities, via a specially crafted packet, to
    execute arbitrary code. (CVE-2017-0143, CVE-2017-0144,
    CVE-2017-0145, CVE-2017-0146, CVE-2017-0148)

  - An information disclosure vulnerability exists in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit this, via a
    specially crafted packet, to disclose sensitive
    information. (CVE-2017-0147)

ETERNALBLUE, ETERNALCHAMPION, ETERNALROMANCE, and ETERNALSYNERGY are
four of multiple Equation Group vulnerabilities and exploits disclosed
on 2017/04/14 by a group known as the Shadow Brokers. WannaCry /
WannaCrypt is a ransomware program utilizing the ETERNALBLUE exploit,
and EternalRocks is a worm that utilizes seven Equation Group
vulnerabilities. Petya is a ransomware program that first utilizes
CVE-2017-0199, a vulnerability in Microsoft Office, and then spreads
via ETERNALBLUE.","Microsoft has released a set of patches for Windows Vista, 2008, 7,
2008 R2, 2012, 8.1, RT 8.1, 2012 R2, 10, and 2016. Microsoft has also
released emergency patches for Windows operating systems that are no
longer supported, including Windows XP, 2003, and 8.

For unsupported Windows operating systems, e.g. Windows XP, Microsoft
recommends that users discontinue the use of SMBv1. SMBv1 lacks
security features that were included in later SMB versions. SMBv1 can
be disabled by following the vendor instructions provided in Microsoft
KB2696547. Additionally, US-CERT recommends that users block SMB
directly by blocking TCP port 445 on all network boundary devices. For
SMB over the NetBIOS API, block TCP ports 137 / 139 and UDP ports 137
/ 138 on all network boundary devices.","Sent:
00000054ff534d4225000000001803c80000000000000000000000000710b3600028000110000000
00ffffffff0000000000000000000000005400000054000200230000001100005c00500049005000
45005c0000000000

Received:
ff534d4225050200c09803c80000000000000000000000000710b36000280001000000
",inadequate security configuration,yes
High,10.204.224.8,MS17-010: Security Update for Microsoft Windows SMB Server (4013389) (ETERNALBLUE) (ETERNALCHAMPION) (ETERNALROMANCE) (ETERNALSYNERGY) (WannaCry) (EternalRocks) (Petya) (uncredentialed check),"The remote Windows host is affected by the following vulnerabilities :

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit these
    vulnerabilities, via a specially crafted packet, to
    execute arbitrary code. (CVE-2017-0143, CVE-2017-0144,
    CVE-2017-0145, CVE-2017-0146, CVE-2017-0148)

  - An information disclosure vulnerability exists in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit this, via a
    specially crafted packet, to disclose sensitive
    information. (CVE-2017-0147)

ETERNALBLUE, ETERNALCHAMPION, ETERNALROMANCE, and ETERNALSYNERGY are
four of multiple Equation Group vulnerabilities and exploits disclosed
on 2017/04/14 by a group known as the Shadow Brokers. WannaCry /
WannaCrypt is a ransomware program utilizing the ETERNALBLUE exploit,
and EternalRocks is a worm that utilizes seven Equation Group
vulnerabilities. Petya is a ransomware program that first utilizes
CVE-2017-0199, a vulnerability in Microsoft Office, and then spreads
via ETERNALBLUE.","Microsoft has released a set of patches for Windows Vista, 2008, 7,
2008 R2, 2012, 8.1, RT 8.1, 2012 R2, 10, and 2016. Microsoft has also
released emergency patches for Windows operating systems that are no
longer supported, including Windows XP, 2003, and 8.

For unsupported Windows operating systems, e.g. Windows XP, Microsoft
recommends that users discontinue the use of SMBv1. SMBv1 lacks
security features that were included in later SMB versions. SMBv1 can
be disabled by following the vendor instructions provided in Microsoft
KB2696547. Additionally, US-CERT recommends that users block SMB
directly by blocking TCP port 445 on all network boundary devices. For
SMB over the NetBIOS API, block TCP ports 137 / 139 and UDP ports 137
/ 138 on all network boundary devices.","Sent:
00000054ff534d4225000000001803c80000000000000000000000000710b3600028000110000000
00ffffffff0000000000000000000000005400000054000200230000001100005c00500049005000
45005c0000000000

Received:
ff534d4225050200c09803c80000000000000000000000000710b36000280001000000
",inadequate security configuration,yes
High,10.204.224.8,MS17-010: Security Update for Microsoft Windows SMB Server (4013389) (ETERNALBLUE) (ETERNALCHAMPION) (ETERNALROMANCE) (ETERNALSYNERGY) (WannaCry) (EternalRocks) (Petya) (uncredentialed check),"The remote Windows host is affected by the following vulnerabilities :

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit these
    vulnerabilities, via a specially crafted packet, to
    execute arbitrary code. (CVE-2017-0143, CVE-2017-0144,
    CVE-2017-0145, CVE-2017-0146, CVE-2017-0148)

  - An information disclosure vulnerability exists in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit this, via a
    specially crafted packet, to disclose sensitive
    information. (CVE-2017-0147)

ETERNALBLUE, ETERNALCHAMPION, ETERNALROMANCE, and ETERNALSYNERGY are
four of multiple Equation Group vulnerabilities and exploits disclosed
on 2017/04/14 by a group known as the Shadow Brokers. WannaCry /
WannaCrypt is a ransomware program utilizing the ETERNALBLUE exploit,
and EternalRocks is a worm that utilizes seven Equation Group
vulnerabilities. Petya is a ransomware program that first utilizes
CVE-2017-0199, a vulnerability in Microsoft Office, and then spreads
via ETERNALBLUE.","Microsoft has released a set of patches for Windows Vista, 2008, 7,
2008 R2, 2012, 8.1, RT 8.1, 2012 R2, 10, and 2016. Microsoft has also
released emergency patches for Windows operating systems that are no
longer supported, including Windows XP, 2003, and 8.

For unsupported Windows operating systems, e.g. Windows XP, Microsoft
recommends that users discontinue the use of SMBv1. SMBv1 lacks
security features that were included in later SMB versions. SMBv1 can
be disabled by following the vendor instructions provided in Microsoft
KB2696547. Additionally, US-CERT recommends that users block SMB
directly by blocking TCP port 445 on all network boundary devices. For
SMB over the NetBIOS API, block TCP ports 137 / 139 and UDP ports 137
/ 138 on all network boundary devices.","Sent:
00000054ff534d4225000000001803c80000000000000000000000000710b3600028000110000000
00ffffffff0000000000000000000000005400000054000200230000001100005c00500049005000
45005c0000000000

Received:
ff534d4225050200c09803c80000000000000000000000000710b36000280001000000
",inadequate security configuration,yes
High,10.204.224.8,MS17-010: Security Update for Microsoft Windows SMB Server (4013389) (ETERNALBLUE) (ETERNALCHAMPION) (ETERNALROMANCE) (ETERNALSYNERGY) (WannaCry) (EternalRocks) (Petya) (uncredentialed check),"The remote Windows host is affected by the following vulnerabilities :

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit these
    vulnerabilities, via a specially crafted packet, to
    execute arbitrary code. (CVE-2017-0143, CVE-2017-0144,
    CVE-2017-0145, CVE-2017-0146, CVE-2017-0148)

  - An information disclosure vulnerability exists in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of certain requests. An
    unauthenticated, remote attacker can exploit this, via a
    specially crafted packet, to disclose sensitive
    information. (CVE-2017-0147)

ETERNALBLUE, ETERNALCHAMPION, ETERNALROMANCE, and ETERNALSYNERGY are
four of multiple Equation Group vulnerabilities and exploits disclosed
on 2017/04/14 by a group known as the Shadow Brokers. WannaCry /
WannaCrypt is a ransomware program utilizing the ETERNALBLUE exploit,
and EternalRocks is a worm that utilizes seven Equation Group
vulnerabilities. Petya is a ransomware program that first utilizes
CVE-2017-0199, a vulnerability in Microsoft Office, and then spreads
via ETERNALBLUE.","Microsoft has released a set of patches for Windows Vista, 2008, 7,
2008 R2, 2012, 8.1, RT 8.1, 2012 R2, 10, and 2016. Microsoft has also
released emergency patches for Windows operating systems that are no
longer supported, including Windows XP, 2003, and 8.

For unsupported Windows operating systems, e.g. Windows XP, Microsoft
recommends that users discontinue the use of SMBv1. SMBv1 lacks
security features that were included in later SMB versions. SMBv1 can
be disabled by following the vendor instructions provided in Microsoft
KB2696547. Additionally, US-CERT recommends that users block SMB
directly by blocking TCP port 445 on all network boundary devices. For
SMB over the NetBIOS API, block TCP ports 137 / 139 and UDP ports 137
/ 138 on all network boundary devices.","Sent:
00000054ff534d4225000000001803c80000000000000000000000000710b3600028000110000000
00ffffffff0000000000000000000000005400000054000200230000001100005c00500049005000
45005c0000000000

Received:
ff534d4225050200c09803c80000000000000000000000000710b36000280001000000
",inadequate security configuration,yes
High,10.204.224.8,Microsoft Windows SMBv1 Multiple Vulnerabilities,"The remote Windows host has Microsoft Server Message Block 1.0 (SMBv1)
enabled. It is, therefore, affected by multiple vulnerabilities :

  - Multiple information disclosure vulnerabilities exist
    in Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of SMBv1 packets. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMBv1 packet, to disclose sensitive
    information. (CVE-2017-0267, CVE-2017-0268,
    CVE-2017-0270, CVE-2017-0271, CVE-2017-0274,
    CVE-2017-0275, CVE-2017-0276)

  - Multiple denial of service vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of requests. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMB request, to cause the system to
    stop responding. (CVE-2017-0269, CVE-2017-0273,
    CVE-2017-0280)

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of SMBv1 packets. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMBv1 packet, to execute arbitrary
    code. (CVE-2017-0272, CVE-2017-0277, CVE-2017-0278,
    CVE-2017-0279)

Depending on the host's security policy configuration, this plugin
cannot always correctly determine if the Windows host is vulnerable if
the host is running a later Windows version (i.e., Windows 8.1, 10,
2012, 2012 R2, and 2016) specifically that named pipes and shares are
allowed to be accessed remotely and anonymously. Tenable does not
recommend this configuration, and the hosts should be checked locally
for patches with one of the following plugins, depending on the
Windows version : 100054, 100055, 100057, 100059, 100060, or 100061.","Apply the applicable security update for your Windows version :

  - Windows Server 2008     : KB4018466
  - Windows 7               : KB4019264
  - Windows Server 2008 R2  : KB4019264
  - Windows Server 2012     : KB4019216
  - Windows 8.1 / RT 8.1.   : KB4019215
  - Windows Server 2012 R2  : KB4019215
  - Windows 10              : KB4019474
  - Windows 10 Version 1511 : KB4019473
  - Windows 10 Version 1607 : KB4019472
  - Windows 10 Version 1703 : KB4016871
  - Windows Server 2016     : KB4019472",,inadequate security configuration,yes
High,10.204.224.8,Microsoft Windows SMBv1 Multiple Vulnerabilities,"The remote Windows host has Microsoft Server Message Block 1.0 (SMBv1)
enabled. It is, therefore, affected by multiple vulnerabilities :

  - Multiple information disclosure vulnerabilities exist
    in Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of SMBv1 packets. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMBv1 packet, to disclose sensitive
    information. (CVE-2017-0267, CVE-2017-0268,
    CVE-2017-0270, CVE-2017-0271, CVE-2017-0274,
    CVE-2017-0275, CVE-2017-0276)

  - Multiple denial of service vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of requests. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMB request, to cause the system to
    stop responding. (CVE-2017-0269, CVE-2017-0273,
    CVE-2017-0280)

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of SMBv1 packets. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMBv1 packet, to execute arbitrary
    code. (CVE-2017-0272, CVE-2017-0277, CVE-2017-0278,
    CVE-2017-0279)

Depending on the host's security policy configuration, this plugin
cannot always correctly determine if the Windows host is vulnerable if
the host is running a later Windows version (i.e., Windows 8.1, 10,
2012, 2012 R2, and 2016) specifically that named pipes and shares are
allowed to be accessed remotely and anonymously. Tenable does not
recommend this configuration, and the hosts should be checked locally
for patches with one of the following plugins, depending on the
Windows version : 100054, 100055, 100057, 100059, 100060, or 100061.","Apply the applicable security update for your Windows version :

  - Windows Server 2008     : KB4018466
  - Windows 7               : KB4019264
  - Windows Server 2008 R2  : KB4019264
  - Windows Server 2012     : KB4019216
  - Windows 8.1 / RT 8.1.   : KB4019215
  - Windows Server 2012 R2  : KB4019215
  - Windows 10              : KB4019474
  - Windows 10 Version 1511 : KB4019473
  - Windows 10 Version 1607 : KB4019472
  - Windows 10 Version 1703 : KB4016871
  - Windows Server 2016     : KB4019472",,inadequate security configuration,yes
High,10.204.224.8,Microsoft Windows SMBv1 Multiple Vulnerabilities,"The remote Windows host has Microsoft Server Message Block 1.0 (SMBv1)
enabled. It is, therefore, affected by multiple vulnerabilities :

  - Multiple information disclosure vulnerabilities exist
    in Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of SMBv1 packets. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMBv1 packet, to disclose sensitive
    information. (CVE-2017-0267, CVE-2017-0268,
    CVE-2017-0270, CVE-2017-0271, CVE-2017-0274,
    CVE-2017-0275, CVE-2017-0276)

  - Multiple denial of service vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of requests. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMB request, to cause the system to
    stop responding. (CVE-2017-0269, CVE-2017-0273,
    CVE-2017-0280)

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of SMBv1 packets. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMBv1 packet, to execute arbitrary
    code. (CVE-2017-0272, CVE-2017-0277, CVE-2017-0278,
    CVE-2017-0279)

Depending on the host's security policy configuration, this plugin
cannot always correctly determine if the Windows host is vulnerable if
the host is running a later Windows version (i.e., Windows 8.1, 10,
2012, 2012 R2, and 2016) specifically that named pipes and shares are
allowed to be accessed remotely and anonymously. Tenable does not
recommend this configuration, and the hosts should be checked locally
for patches with one of the following plugins, depending on the
Windows version : 100054, 100055, 100057, 100059, 100060, or 100061.","Apply the applicable security update for your Windows version :

  - Windows Server 2008     : KB4018466
  - Windows 7               : KB4019264
  - Windows Server 2008 R2  : KB4019264
  - Windows Server 2012     : KB4019216
  - Windows 8.1 / RT 8.1.   : KB4019215
  - Windows Server 2012 R2  : KB4019215
  - Windows 10              : KB4019474
  - Windows 10 Version 1511 : KB4019473
  - Windows 10 Version 1607 : KB4019472
  - Windows 10 Version 1703 : KB4016871
  - Windows Server 2016     : KB4019472",,inadequate security configuration,yes
High,10.204.224.8,Microsoft Windows SMBv1 Multiple Vulnerabilities,"The remote Windows host has Microsoft Server Message Block 1.0 (SMBv1)
enabled. It is, therefore, affected by multiple vulnerabilities :

  - Multiple information disclosure vulnerabilities exist
    in Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of SMBv1 packets. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMBv1 packet, to disclose sensitive
    information. (CVE-2017-0267, CVE-2017-0268,
    CVE-2017-0270, CVE-2017-0271, CVE-2017-0274,
    CVE-2017-0275, CVE-2017-0276)

  - Multiple denial of service vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of requests. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMB request, to cause the system to
    stop responding. (CVE-2017-0269, CVE-2017-0273,
    CVE-2017-0280)

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of SMBv1 packets. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMBv1 packet, to execute arbitrary
    code. (CVE-2017-0272, CVE-2017-0277, CVE-2017-0278,
    CVE-2017-0279)

Depending on the host's security policy configuration, this plugin
cannot always correctly determine if the Windows host is vulnerable if
the host is running a later Windows version (i.e., Windows 8.1, 10,
2012, 2012 R2, and 2016) specifically that named pipes and shares are
allowed to be accessed remotely and anonymously. Tenable does not
recommend this configuration, and the hosts should be checked locally
for patches with one of the following plugins, depending on the
Windows version : 100054, 100055, 100057, 100059, 100060, or 100061.","Apply the applicable security update for your Windows version :

  - Windows Server 2008     : KB4018466
  - Windows 7               : KB4019264
  - Windows Server 2008 R2  : KB4019264
  - Windows Server 2012     : KB4019216
  - Windows 8.1 / RT 8.1.   : KB4019215
  - Windows Server 2012 R2  : KB4019215
  - Windows 10              : KB4019474
  - Windows 10 Version 1511 : KB4019473
  - Windows 10 Version 1607 : KB4019472
  - Windows 10 Version 1703 : KB4016871
  - Windows Server 2016     : KB4019472",,inadequate security configuration,yes
High,10.204.224.8,Microsoft Windows SMBv1 Multiple Vulnerabilities,"The remote Windows host has Microsoft Server Message Block 1.0 (SMBv1)
enabled. It is, therefore, affected by multiple vulnerabilities :

  - Multiple information disclosure vulnerabilities exist
    in Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of SMBv1 packets. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMBv1 packet, to disclose sensitive
    information. (CVE-2017-0267, CVE-2017-0268,
    CVE-2017-0270, CVE-2017-0271, CVE-2017-0274,
    CVE-2017-0275, CVE-2017-0276)

  - Multiple denial of service vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of requests. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMB request, to cause the system to
    stop responding. (CVE-2017-0269, CVE-2017-0273,
    CVE-2017-0280)

  - Multiple remote code execution vulnerabilities exist in
    Microsoft Server Message Block 1.0 (SMBv1) due to
    improper handling of SMBv1 packets. An unauthenticated,
    remote attacker can exploit these vulnerabilities, via a
    specially crafted SMBv1 packet, to execute arbitrary
    code. (CVE-2017-0272, CVE-2017-0277, CVE-2017-0278,
    CVE-2017-0279)

Depending on the host's security policy configuration, this plugin
cannot always correctly determine if the Windows host is vulnerable if
the host is running a later Windows version (i.e., Windows 8.1, 10,
2012, 2012 R2, and 2016) specifically that named pipes and shares are
allowed to be accessed remotely and anonymously. Tenable does not
recommend this configuration, and the hosts should be checked locally
for patches with one of the following plugins, depending on the
Windows version : 100054, 100055, 100057, 100059, 100060, or 100061.","Apply the applicable security update for your Windows version :

  - Windows Server 2008     : KB4018466
  - Windows 7               : KB4019264
  - Windows Server 2008 R2  : KB4019264
  - Windows Server 2012     : KB4019216
  - Windows 8.1 / RT 8.1.   : KB4019215
  - Windows Server 2012 R2  : KB4019215
  - Windows 10              : KB4019474
  - Windows 10 Version 1511 : KB4019473
  - Windows 10 Version 1607 : KB4019472
  - Windows 10 Version 1703 : KB4016871
  - Windows Server 2016     : KB4019472",,inadequate security configuration,yes
